"ID","S1_S2.logFC","S1_S2.logCPM","S1_S2.LR","S1_S2.PValue","S1_S2.FDR","S1_S3.logFC","S1_S3.logCPM","S1_S3.LR","S1_S3.PValue","S1_S3.FDR","S2_S3.logFC","S2_S3.logCPM","S2_S3.LR","S2_S3.PValue","S2_S3.FDR"
"Glyma06g12670.1","Glyma06g12670.1",-1.97863638497672,8.18978430210418,10.8123242222112,0.00100826643108159,0.189554089043338,-2.22589679927172,8.18978430210418,14.877978229256,0.000114694142435746,0.0347300678370702,-0.247260414294997,8.18978430210418,0.351797087067103,0.55309760136132,0.999824593695449
"Glyma08g12390.2","Glyma08g12390.2",0.451358897687614,7.86566188266854,0.659893247989288,0.416597633276657,0.999674854803839,0.290636530352781,7.86566188266854,0.288670320084279,0.591073883013608,0.999759621939895,-0.160722367334834,7.86566188266854,0.0748433165750264,0.784411197886029,0.999824593695449
"Glyma12g02076.11","Glyma12g02076.11",-0.140493860626786,7.58726396687696,0.0478954996034647,0.826766581255402,0.999674854803839,-0.094670933490381,7.58726396687696,0.0214006369269479,0.883692802894879,0.999759621939895,0.0458229271364046,7.58726396687696,0.0051794409344656,0.94262710919802,0.999824593695449
"Glyma18g53450.1","Glyma18g53450.1",-0.0353079621200995,6.71937451274736,0.00096428758602438,0.975227287845571,0.999674854803839,-0.0372724406895944,6.71937451274736,0.00107434385372284,0.973852272201602,0.999759621939895,-0.00196447856949492,6.71937451274736,2.9731954499174e-06,0.998624211813305,0.999824593695449
"Glyma05g03470.4","Glyma05g03470.4",0.319365727943316,7.57940927317866,0.210906201277846,0.646058058122825,0.999674854803839,-0.448216556413182,7.57940927317866,0.536237705706409,0.463996139264058,0.999759621939895,-0.767582284356498,7.57940927317866,1.39286352192513,0.237922114006735,0.999824593695449
"Glyma18g47570.2","Glyma18g47570.2",0.119895750269547,7.97819518231235,0.0539476427701988,0.816331170979294,0.999674854803839,0.274322015162153,7.97819518231235,0.267778739454772,0.60482571960516,0.999759621939895,0.154426264892606,7.97819518231235,0.0804031959962799,0.776751753988837,0.999824593695449
"Glyma19g39560.2","Glyma19g39560.2",0.377996420145161,8.12063429675117,0.583066073273608,0.445113021381109,0.999674854803839,0.208437623174356,8.12063429675117,0.187678334070042,0.6648559853401,0.999759621939895,-0.169558796970805,8.12063429675117,0.107805816013078,0.742656145631709,0.999824593695449
"Glyma13g34002.1","Glyma13g34002.1",0.0262057747220018,8.48824390664199,0.00390707744154454,0.950159390904651,0.999674854803839,0.0470282641082433,8.48824390664199,0.0124833980632249,0.911038183052666,0.999759621939895,0.0208224893862415,8.48824390664199,0.0023919171460326,0.960993227054352,0.999824593695449
"Glyma13g12610.1","Glyma13g12610.1",-0.0608645919522704,8.34781074440341,0.0188937927775262,0.890671402063463,0.999674854803839,0.0529627627574023,8.34781074440341,0.0137499448884641,0.906653895681785,0.999759621939895,0.113827354709673,8.34781074440341,0.0639402545130096,0.800373229924284,0.999824593695449
"Glyma02g10701.1","Glyma02g10701.1",-0.0353079621200995,6.71937451274736,0.00096428758602438,0.975227287845571,0.999674854803839,-0.0372724406895944,6.71937451274736,0.00107434385372284,0.973852272201602,0.999759621939895,-0.00196447856949492,6.71937451274736,2.9731954499174e-06,0.998624211813305,0.999824593695449
"Glyma05g06410.1","Glyma05g06410.1",0.856975300688422,7.46682699304114,1.68218723031284,0.194634074411361,0.999674854803839,0.958792861853372,7.46682699304114,2.03343191792968,0.153872803711355,0.999759621939895,0.10181756116495,7.46682699304114,0.0171040885147609,0.895947287791613,0.999824593695449
"Glyma04g24371.1","Glyma04g24371.1",0.107884482425433,8.77991829155218,0.0847456814349936,0.770966339150522,0.999674854803839,0.112419349108594,8.77991829155218,0.0918025583852414,0.761897962519401,0.999759621939895,0.00453486668316098,8.77991829155218,0.000141998959958457,0.99049236796905,0.999824593695449
"Glyma14g03920.1","Glyma14g03920.1",0.529234974785162,6.86444006678638,0.255916319271083,0.612939682529965,0.999674854803839,-0.0377560425757084,6.86444006678638,0.00155189736444772,0.968576161013593,0.999759621939895,-0.56699101736087,6.86444006678638,0.293018934512152,0.588292389541826,0.999824593695449
"Glyma08g19101.1","Glyma08g19101.1",-0.28379342308192,7.92372305225055,0.265530917972262,0.606345549404241,0.999674854803839,-0.28263867990713,7.92372305225055,0.26306914319742,0.608019409539465,0.999759621939895,0.00115474317479055,7.92372305225055,4.76180799902082e-06,0.998258892216819,0.999824593695449
"Glyma15g43100.1","Glyma15g43100.1",0.0677253269421576,8.76147704099965,0.036099397493948,0.849310372985616,0.999674854803839,0.563451841491651,8.76147704099965,2.10558400285802,0.14676230163712,0.999759621939895,0.495726514549493,8.76147704099965,1.57188547300248,0.209933408487967,0.999824593695449
"Glyma10g31876.1","Glyma10g31876.1",-0.847507394093758,7.41419184542255,1.27312761252001,0.259180760936725,0.999674854803839,-0.884126063962288,7.41419184542255,1.4012337789348,0.236517105052726,0.999759621939895,-0.0366186698685304,7.41419184542255,0.00313151962003366,0.955373686670029,0.999824593695449
"Glyma14g38950.2","Glyma14g38950.2",-0.0578579574780499,8.60714832177312,0.0206832683898427,0.885645146116507,0.999674854803839,-0.0734117989038871,8.60714832177312,0.0334500486208205,0.854881548205408,0.999759621939895,-0.0155538414258373,8.60714832177312,0.00150995804987951,0.969003459950327,0.999824593695449
"Glyma20g35011.2","Glyma20g35011.2",-0.0353079621200995,6.85079682030813,0.000964287586024404,0.975227287845571,0.999674854803839,-0.93705710250427,6.85079682030813,0.890327377232074,0.345388607211003,0.999759621939895,-0.901749140384171,6.85079682030813,0.820639531328369,0.36499324825511,0.999824593695449
"Glyma08g16560.4","Glyma08g16560.4",1.00317705112194,7.06053257047618,1.061495146649,0.302874424269092,0.999674854803839,-0.239655353631893,7.06053257047618,0.0901765215481687,0.763952864889032,0.999759621939895,-1.24283240475384,7.06053257047618,1.73231669072916,0.188115304960443,0.999824593695449
"Glyma16g04160.1","Glyma16g04160.1",-0.165680803771772,8.43318148969897,0.14742577437457,0.70100761908246,0.999674854803839,-0.0964833028279182,8.43318148969897,0.0487887851836858,0.825184441414164,0.999759621939895,0.0691975009438534,8.43318148969897,0.0261766396288022,0.871469681432434,0.999824593695449
